INFO:root:Start: 3_preprocess_target_tweets.py 
DEBUG:root:Processing tweet 1/1543
DEBUG:root:Processing tweet 2/1543
DEBUG:root:Processing tweet 3/1543
DEBUG:root:Tweet 1324408160459890690 already processed
DEBUG:root:Processing tweet 4/1543
DEBUG:root:Processing tweet 5/1543
DEBUG:root:Processing tweet 6/1543
DEBUG:root:Processing tweet 7/1543
DEBUG:root:Processing tweet 8/1543
DEBUG:root:Processing tweet 9/1543
DEBUG:root:Processing tweet 10/1543
DEBUG:root:Processing tweet 11/1543
DEBUG:root:Processing tweet 12/1543
DEBUG:root:Processing tweet 13/1543
DEBUG:root:Processing tweet 14/1543
DEBUG:root:Processing tweet 15/1543
DEBUG:root:Processing tweet 16/1543
DEBUG:root:Processing tweet 17/1543
DEBUG:root:Processing tweet 18/1543
DEBUG:root:Processing tweet 19/1543
DEBUG:root:Processing tweet 20/1543
DEBUG:root:Processing tweet 21/1543
DEBUG:root:Processing tweet 22/1543
DEBUG:root:Processing tweet 23/1543
DEBUG:root:Processing tweet 24/1543
DEBUG:root:Tweet 1324358439347187716 already processed
DEBUG:root:Processing tweet 25/1543
DEBUG:root:Processing tweet 26/1543
DEBUG:root:Tweet 1324354854987436032 already processed
DEBUG:root:Processing tweet 27/1543
DEBUG:root:Processing tweet 28/1543
DEBUG:root:Processing tweet 29/1543
DEBUG:root:Processing tweet 30/1543
DEBUG:root:Processing tweet 31/1543
DEBUG:root:Processing tweet 32/1543
DEBUG:root:Tweet 1324339831846150144 already processed
DEBUG:root:Processing tweet 33/1543
DEBUG:root:Processing tweet 34/1543
DEBUG:root:Tweet 1324337435548024832 already processed
DEBUG:root:Processing tweet 35/1543
DEBUG:root:Processing tweet 36/1543
DEBUG:root:Processing tweet 37/1543
DEBUG:root:Processing tweet 38/1543
DEBUG:root:Processing tweet 39/1543
DEBUG:root:Processing tweet 40/1543
DEBUG:root:Processing tweet 41/1543
DEBUG:root:Processing tweet 42/1543
DEBUG:root:Processing tweet 43/1543
DEBUG:root:Processing tweet 44/1543
DEBUG:root:Processing tweet 45/1543
DEBUG:root:Processing tweet 46/1543
DEBUG:root:Processing tweet 47/1543
DEBUG:root:Processing tweet 48/1543
DEBUG:root:Processing tweet 49/1543
DEBUG:root:Processing tweet 50/1543
DEBUG:root:Tweet 1324208290155421696 already processed
DEBUG:root:Processing tweet 51/1543
DEBUG:root:Processing tweet 52/1543
DEBUG:root:Processing tweet 53/1543
DEBUG:root:Processing tweet 54/1543
DEBUG:root:Tweet 1324172311411499009 already processed
DEBUG:root:Processing tweet 55/1543
DEBUG:root:Processing tweet 56/1543
DEBUG:root:Processing tweet 57/1543
DEBUG:root:Processing tweet 58/1543
DEBUG:root:Processing tweet 59/1543
DEBUG:root:Processing tweet 60/1543
DEBUG:root:Processing tweet 61/1543
DEBUG:root:Processing tweet 62/1543
DEBUG:root:Processing tweet 63/1543
DEBUG:root:Processing tweet 64/1543
DEBUG:root:Processing tweet 65/1543
DEBUG:root:Tweet 1324139363383599109 already processed
DEBUG:root:Processing tweet 66/1543
DEBUG:root:Processing tweet 67/1543
DEBUG:root:Processing tweet 68/1543
DEBUG:root:Processing tweet 69/1543
DEBUG:root:Processing tweet 70/1543
DEBUG:root:Processing tweet 71/1543
DEBUG:root:Processing tweet 72/1543
DEBUG:root:Processing tweet 73/1543
DEBUG:root:Processing tweet 74/1543
DEBUG:root:Processing tweet 75/1543
DEBUG:root:Processing tweet 76/1543
DEBUG:root:Processing tweet 77/1543
DEBUG:root:Processing tweet 78/1543
DEBUG:root:Processing tweet 79/1543
DEBUG:root:Tweet 1324079044569292800 already processed
DEBUG:root:Processing tweet 80/1543
DEBUG:root:Processing tweet 81/1543
DEBUG:root:Processing tweet 82/1543
DEBUG:root:Processing tweet 83/1543
DEBUG:root:Processing tweet 84/1543
DEBUG:root:Processing tweet 85/1543
DEBUG:root:Processing tweet 86/1543
DEBUG:root:Processing tweet 87/1543
DEBUG:root:Processing tweet 88/1543
DEBUG:root:Processing tweet 89/1543
DEBUG:root:Processing tweet 90/1543
DEBUG:root:Processing tweet 91/1543
DEBUG:root:Processing tweet 92/1543
DEBUG:root:Processing tweet 93/1543
DEBUG:root:Processing tweet 94/1543
DEBUG:root:Processing tweet 95/1543
DEBUG:root:Processing tweet 96/1543
DEBUG:root:Processing tweet 97/1543
DEBUG:root:Processing tweet 98/1543
DEBUG:root:Processing tweet 99/1543
DEBUG:root:Tweet 1324027419913801730 already processed
DEBUG:root:Processing tweet 100/1543
DEBUG:root:Processing tweet 101/1543
DEBUG:root:Processing tweet 102/1543
DEBUG:root:Processing tweet 103/1543
DEBUG:root:Tweet 1324026658186285060 already processed
DEBUG:root:Processing tweet 104/1543
