INFO:root:Start: 2_parse_target_tweets.py 
INFO:root:Processing mode of research: UNCW
INFO:root:Processing file files\target_tweets\UNCW\UNCW-20201025194056.txt 1/2
INFO:root:Tweet ID 1319736546149474305 already processed, skipping...
INFO:root:Tweet ID 1319731587379068929 already processed, skipping...
INFO:root:Tweet ID 1319727788287406080 already processed, skipping...
INFO:root:Tweet ID 1319725854696624129 already processed, skipping...
INFO:root:Tweet ID 1319725452362174466 already processed, skipping...
INFO:root:Tweet ID 1319722012005322755 already processed, skipping...
INFO:root:Tweet ID 1319718728817381377 already processed, skipping...
INFO:root:Tweet ID 1319715516626317312 already processed, skipping...
INFO:root:Tweet ID 1319714805222166528 already processed, skipping...
INFO:root:Tweet ID 1319711804872769536 already processed, skipping...
INFO:root:Tweet ID 1319710860495843328 already processed, skipping...
INFO:root:Tweet ID 1319710301256908802 already processed, skipping...
INFO:root:Tweet ID 1319710218213875712 already processed, skipping...
INFO:root:Tweet ID 1319710189780570112 already processed, skipping...
INFO:root:Tweet ID 1319706148874969094 already processed, skipping...
INFO:root:Tweet ID 1319705821215948807 already processed, skipping...
INFO:root:Tweet ID 1319705351550283779 already processed, skipping...
INFO:root:Tweet ID 1319704118869610496 already processed, skipping...
INFO:root:Tweet ID 1319703274547744769 already processed, skipping...
INFO:root:Tweet ID 1319702773471105024 already processed, skipping...
INFO:root:Tweet ID 1319697406980653058 already processed, skipping...
INFO:root:Tweet ID 1319696404831473670 already processed, skipping...
INFO:root:Tweet ID 1319682950611357697 already processed, skipping...
INFO:root:Tweet ID 1319678011797610496 already processed, skipping...
INFO:root:Tweet ID 1319672192184045570 already processed, skipping...
INFO:root:Tweet ID 1319671213443211266 already processed, skipping...
INFO:root:Tweet ID 1319663279401218049 already processed, skipping...
INFO:root:Tweet ID 1319662334722322434 already processed, skipping...
INFO:root:Tweet ID 1319659421971218432 already processed, skipping...
INFO:root:Tweet ID 1319655375696764928 already processed, skipping...
INFO:root:Tweet ID 1319655274140045320 already processed, skipping...
INFO:root:Tweet ID 1319654636228431873 already processed, skipping...
INFO:root:Tweet ID 1319653604148596736 already processed, skipping...
INFO:root:Tweet ID 1319649849302802439 already processed, skipping...
INFO:root:Tweet ID 1319648845245054977 already processed, skipping...
INFO:root:Tweet ID 1319647518620254210 already processed, skipping...
INFO:root:Tweet ID 1319640481681317889 already processed, skipping...
INFO:root:Tweet ID 1319638834943086599 already processed, skipping...
INFO:root:Tweet ID 1319637979573440512 already processed, skipping...
INFO:root:Tweet ID 1319637725277028353 already processed, skipping...
INFO:root:Tweet ID 1319632439480700928 already processed, skipping...
INFO:root:Tweet ID 1319632423349571585 already processed, skipping...
INFO:root:Tweet ID 1319624616432775177 already processed, skipping...
INFO:root:Tweet ID 1319615615427088384 already processed, skipping...
INFO:root:Tweet ID 1319609535066214400 already processed, skipping...
INFO:root:Tweet ID 1319609518226026496 already processed, skipping...
INFO:root:Tweet ID 1319609311656628224 already processed, skipping...
INFO:root:Tweet ID 1319609295705616385 already processed, skipping...
INFO:root:Tweet ID 1319606943409934337 already processed, skipping...
INFO:root:Tweet ID 1319605868640587776 already processed, skipping...
INFO:root:Tweet ID 1319600425214136320 already processed, skipping...
INFO:root:Tweet ID 1319600003116138498 already processed, skipping...
INFO:root:Tweet ID 1319594345977163776 already processed, skipping...
INFO:root:Tweet ID 1319594273717669888 already processed, skipping...
INFO:root:Tweet ID 1319588571129544706 already processed, skipping...
INFO:root:Tweet ID 1319584149506764800 already processed, skipping...
INFO:root:Tweet ID 1319564078738776067 already processed, skipping...
INFO:root:Tweet ID 1319505108435161088 already processed, skipping...
INFO:root:Tweet ID 1319504508171542529 already processed, skipping...
INFO:root:Tweet ID 1319496573982810112 already processed, skipping...
INFO:root:Tweet ID 1319478271864496128 already processed, skipping...
INFO:root:Tweet ID 1319477713627836416 already processed, skipping...
INFO:root:Tweet ID 1319476937799143438 already processed, skipping...
INFO:root:Tweet ID 1319476647871983616 already processed, skipping...
INFO:root:Tweet ID 1319474416707928067 already processed, skipping...
INFO:root:Tweet ID 1319473116343635968 already processed, skipping...
INFO:root:Tweet ID 1319458668111450113 already processed, skipping...
INFO:root:Tweet ID 1319453494072561664 already processed, skipping...
INFO:root:Tweet ID 1319448054487867392 already processed, skipping...
INFO:root:Tweet ID 1319446918418866176 already processed, skipping...
INFO:root:Tweet ID 1319437378675789824 already processed, skipping...
INFO:root:Tweet ID 1319436193520619522 already processed, skipping...
INFO:root:Tweet ID 1319435875479150598 already processed, skipping...
INFO:root:Tweet ID 1319435875302899714 already processed, skipping...
INFO:root:Tweet ID 1319429122498543616 already processed, skipping...
