INFO:root:Start: 3_preprocess_target_tweets.py 
DEBUG:root:Processing tweet 1/321
DEBUG:root:Processing tweet 2/321
DEBUG:root:Processing tweet 3/321
DEBUG:root:Processing tweet 4/321
DEBUG:root:Processing tweet 5/321
DEBUG:root:Processing tweet 6/321
DEBUG:root:Processing tweet 7/321
DEBUG:root:Processing tweet 8/321
DEBUG:root:Processing tweet 9/321
DEBUG:root:Processing tweet 10/321
DEBUG:root:Processing tweet 11/321
DEBUG:root:Processing tweet 12/321
DEBUG:root:Processing tweet 13/321
DEBUG:root:Processing tweet 14/321
DEBUG:root:Processing tweet 15/321
DEBUG:root:Processing tweet 16/321
DEBUG:root:Processing tweet 17/321
DEBUG:root:Processing tweet 18/321
DEBUG:root:Processing tweet 19/321
DEBUG:root:Processing tweet 20/321
DEBUG:root:Processing tweet 21/321
DEBUG:root:Processing tweet 22/321
DEBUG:root:Processing tweet 23/321
DEBUG:root:Processing tweet 24/321
DEBUG:root:Processing tweet 25/321
DEBUG:root:Processing tweet 26/321
DEBUG:root:Processing tweet 27/321
DEBUG:root:Processing tweet 28/321
DEBUG:root:Processing tweet 29/321
DEBUG:root:Processing tweet 30/321
DEBUG:root:Processing tweet 31/321
DEBUG:root:Processing tweet 32/321
DEBUG:root:Processing tweet 33/321
DEBUG:root:Processing tweet 34/321
DEBUG:root:Processing tweet 35/321
DEBUG:root:Processing tweet 36/321
DEBUG:root:Processing tweet 37/321
DEBUG:root:Processing tweet 38/321
DEBUG:root:Processing tweet 39/321
DEBUG:root:Processing tweet 40/321
DEBUG:root:Processing tweet 41/321
DEBUG:root:Processing tweet 42/321
DEBUG:root:Processing tweet 43/321
DEBUG:root:Processing tweet 44/321
DEBUG:root:Processing tweet 45/321
DEBUG:root:Processing tweet 46/321
DEBUG:root:Processing tweet 47/321
DEBUG:root:Processing tweet 48/321
DEBUG:root:Processing tweet 49/321
DEBUG:root:Processing tweet 50/321
DEBUG:root:Processing tweet 51/321
DEBUG:root:Processing tweet 52/321
DEBUG:root:Processing tweet 53/321
DEBUG:root:Processing tweet 54/321
DEBUG:root:Processing tweet 55/321
DEBUG:root:Processing tweet 56/321
DEBUG:root:Processing tweet 57/321
DEBUG:root:Processing tweet 58/321
DEBUG:root:Processing tweet 59/321
DEBUG:root:Processing tweet 60/321
DEBUG:root:Processing tweet 61/321
DEBUG:root:Processing tweet 62/321
DEBUG:root:Processing tweet 63/321
DEBUG:root:Processing tweet 64/321
DEBUG:root:Processing tweet 65/321
DEBUG:root:Processing tweet 66/321
DEBUG:root:Processing tweet 67/321
DEBUG:root:Processing tweet 68/321
DEBUG:root:Processing tweet 69/321
