INFO:root:Start: 3_preprocess_target_tweets.py 
DEBUG:root:Processing tweet 1/4236
DEBUG:root:Processing tweet 2/4236
DEBUG:root:Processing tweet 3/4236
DEBUG:root:Processing tweet 4/4236
DEBUG:root:Processing tweet 5/4236
DEBUG:root:Processing tweet 6/4236
DEBUG:root:Processing tweet 7/4236
DEBUG:root:Processing tweet 8/4236
DEBUG:root:Processing tweet 9/4236
DEBUG:root:Processing tweet 10/4236
DEBUG:root:Processing tweet 11/4236
DEBUG:root:Processing tweet 12/4236
DEBUG:root:Processing tweet 13/4236
DEBUG:root:Processing tweet 14/4236
DEBUG:root:Processing tweet 15/4236
DEBUG:root:Processing tweet 16/4236
DEBUG:root:Processing tweet 17/4236
DEBUG:root:Processing tweet 18/4236
DEBUG:root:Processing tweet 19/4236
DEBUG:root:Processing tweet 20/4236
DEBUG:root:Processing tweet 21/4236
DEBUG:root:Processing tweet 22/4236
DEBUG:root:Processing tweet 23/4236
DEBUG:root:Processing tweet 24/4236
DEBUG:root:Processing tweet 25/4236
DEBUG:root:Processing tweet 26/4236
DEBUG:root:Processing tweet 27/4236
DEBUG:root:Processing tweet 28/4236
DEBUG:root:Processing tweet 29/4236
DEBUG:root:Processing tweet 30/4236
DEBUG:root:Processing tweet 31/4236
DEBUG:root:Processing tweet 32/4236
DEBUG:root:Processing tweet 33/4236
DEBUG:root:Processing tweet 34/4236
DEBUG:root:Processing tweet 35/4236
DEBUG:root:Processing tweet 36/4236
DEBUG:root:Processing tweet 37/4236
DEBUG:root:Processing tweet 38/4236
DEBUG:root:Processing tweet 39/4236
DEBUG:root:Processing tweet 40/4236
DEBUG:root:Processing tweet 41/4236
DEBUG:root:Processing tweet 42/4236
DEBUG:root:Processing tweet 43/4236
DEBUG:root:Processing tweet 44/4236
DEBUG:root:Processing tweet 45/4236
DEBUG:root:Processing tweet 46/4236
DEBUG:root:Processing tweet 47/4236
DEBUG:root:Processing tweet 48/4236
DEBUG:root:Processing tweet 49/4236
DEBUG:root:Processing tweet 50/4236
DEBUG:root:Processing tweet 51/4236
DEBUG:root:Processing tweet 52/4236
DEBUG:root:Processing tweet 53/4236
DEBUG:root:Processing tweet 54/4236
DEBUG:root:Processing tweet 55/4236
DEBUG:root:Processing tweet 56/4236
DEBUG:root:Processing tweet 57/4236
DEBUG:root:Processing tweet 58/4236
DEBUG:root:Processing tweet 59/4236
DEBUG:root:Processing tweet 60/4236
DEBUG:root:Processing tweet 61/4236
DEBUG:root:Processing tweet 62/4236
DEBUG:root:Processing tweet 63/4236
DEBUG:root:Processing tweet 64/4236
DEBUG:root:Processing tweet 65/4236
DEBUG:root:Processing tweet 66/4236
DEBUG:root:Processing tweet 67/4236
DEBUG:root:Processing tweet 68/4236
DEBUG:root:Processing tweet 69/4236
DEBUG:root:Processing tweet 70/4236
DEBUG:root:Processing tweet 71/4236
DEBUG:root:Processing tweet 72/4236
DEBUG:root:Processing tweet 73/4236
DEBUG:root:Processing tweet 74/4236
DEBUG:root:Processing tweet 75/4236
DEBUG:root:Processing tweet 76/4236
DEBUG:root:Processing tweet 77/4236
DEBUG:root:Processing tweet 78/4236
DEBUG:root:Processing tweet 79/4236
DEBUG:root:Processing tweet 80/4236
DEBUG:root:Processing tweet 81/4236
DEBUG:root:Processing tweet 82/4236
DEBUG:root:Processing tweet 83/4236
DEBUG:root:Processing tweet 84/4236
DEBUG:root:Processing tweet 85/4236
DEBUG:root:Processing tweet 86/4236
DEBUG:root:Processing tweet 87/4236
DEBUG:root:Processing tweet 88/4236
DEBUG:root:Processing tweet 89/4236
DEBUG:root:Processing tweet 90/4236
DEBUG:root:Processing tweet 91/4236
DEBUG:root:Processing tweet 92/4236
DEBUG:root:Processing tweet 93/4236
DEBUG:root:Processing tweet 94/4236
DEBUG:root:Processing tweet 95/4236
DEBUG:root:Processing tweet 96/4236
DEBUG:root:Processing tweet 97/4236
DEBUG:root:Processing tweet 98/4236
DEBUG:root:Processing tweet 99/4236
DEBUG:root:Processing tweet 100/4236
DEBUG:root:Processing tweet 101/4236
DEBUG:root:Processing tweet 102/4236
DEBUG:root:Processing tweet 103/4236
DEBUG:root:Processing tweet 104/4236
DEBUG:root:Processing tweet 105/4236
DEBUG:root:Processing tweet 106/4236
DEBUG:root:Processing tweet 107/4236
DEBUG:root:Processing tweet 108/4236
DEBUG:root:Processing tweet 109/4236
DEBUG:root:Processing tweet 110/4236
DEBUG:root:Processing tweet 111/4236
DEBUG:root:Processing tweet 112/4236
DEBUG:root:Processing tweet 113/4236
DEBUG:root:Processing tweet 114/4236
DEBUG:root:Processing tweet 115/4236
DEBUG:root:Processing tweet 116/4236
DEBUG:root:Processing tweet 117/4236
DEBUG:root:Processing tweet 118/4236
DEBUG:root:Processing tweet 119/4236
DEBUG:root:Processing tweet 120/4236
DEBUG:root:Processing tweet 121/4236
DEBUG:root:Processing tweet 122/4236
DEBUG:root:Processing tweet 123/4236
DEBUG:root:Processing tweet 124/4236
DEBUG:root:Processing tweet 125/4236
DEBUG:root:Processing tweet 126/4236
DEBUG:root:Processing tweet 127/4236
DEBUG:root:Processing tweet 128/4236
DEBUG:root:Processing tweet 129/4236
DEBUG:root:Processing tweet 130/4236
DEBUG:root:Processing tweet 131/4236
DEBUG:root:Processing tweet 132/4236
DEBUG:root:Processing tweet 133/4236
DEBUG:root:Processing tweet 134/4236
DEBUG:root:Processing tweet 135/4236
DEBUG:root:Processing tweet 136/4236
DEBUG:root:Processing tweet 137/4236
DEBUG:root:Processing tweet 138/4236
DEBUG:root:Processing tweet 139/4236
DEBUG:root:Processing tweet 140/4236
