INFO:root:Start: 3_preprocess_target_tweets.py 
DEBUG:root:Processing tweet 150/990
DEBUG:root:Processing tweet 151/990
DEBUG:root:Tweet 1323992213676765186 already processed
DEBUG:root:Processing tweet 152/990
DEBUG:root:Processing tweet 153/990
DEBUG:root:Processing tweet 154/990
DEBUG:root:Processing tweet 155/990
DEBUG:root:Processing tweet 156/990
DEBUG:root:Processing tweet 157/990
DEBUG:root:Processing tweet 158/990
DEBUG:root:Processing tweet 159/990
DEBUG:root:Processing tweet 160/990
DEBUG:root:Processing tweet 161/990
DEBUG:root:Processing tweet 162/990
DEBUG:root:Processing tweet 163/990
DEBUG:root:Processing tweet 164/990
DEBUG:root:Processing tweet 165/990
DEBUG:root:Processing tweet 166/990
DEBUG:root:Processing tweet 167/990
DEBUG:root:Processing tweet 168/990
DEBUG:root:Processing tweet 169/990
DEBUG:root:Processing tweet 170/990
DEBUG:root:Processing tweet 171/990
DEBUG:root:Processing tweet 172/990
DEBUG:root:Processing tweet 173/990
DEBUG:root:Processing tweet 174/990
DEBUG:root:Processing tweet 175/990
DEBUG:root:Processing tweet 176/990
DEBUG:root:Processing tweet 177/990
DEBUG:root:Tweet 1323973859700318209 already processed
DEBUG:root:Processing tweet 178/990
DEBUG:root:Processing tweet 179/990
DEBUG:root:Processing tweet 180/990
DEBUG:root:Processing tweet 181/990
DEBUG:root:Processing tweet 182/990
DEBUG:root:Processing tweet 183/990
DEBUG:root:Processing tweet 184/990
DEBUG:root:Processing tweet 185/990
DEBUG:root:Processing tweet 186/990
DEBUG:root:Processing tweet 187/990
DEBUG:root:Processing tweet 188/990
DEBUG:root:Processing tweet 189/990
DEBUG:root:Processing tweet 190/990
DEBUG:root:Processing tweet 191/990
DEBUG:root:Processing tweet 192/990
DEBUG:root:Processing tweet 193/990
DEBUG:root:Processing tweet 194/990
DEBUG:root:Processing tweet 195/990
DEBUG:root:Processing tweet 196/990
DEBUG:root:Processing tweet 197/990
DEBUG:root:Processing tweet 198/990
DEBUG:root:Processing tweet 199/990
DEBUG:root:Processing tweet 200/990
DEBUG:root:Processing tweet 201/990
DEBUG:root:Processing tweet 202/990
DEBUG:root:Processing tweet 203/990
DEBUG:root:Processing tweet 204/990
DEBUG:root:Processing tweet 205/990
DEBUG:root:Processing tweet 206/990
DEBUG:root:Processing tweet 207/990
DEBUG:root:Processing tweet 208/990
DEBUG:root:Processing tweet 209/990
DEBUG:root:Processing tweet 210/990
DEBUG:root:Processing tweet 211/990
DEBUG:root:Processing tweet 212/990
DEBUG:root:Processing tweet 213/990
DEBUG:root:Processing tweet 214/990
DEBUG:root:Processing tweet 215/990
DEBUG:root:Processing tweet 216/990
DEBUG:root:Tweet 1323958728564088834 already processed
DEBUG:root:Processing tweet 217/990
DEBUG:root:Processing tweet 218/990
DEBUG:root:Processing tweet 219/990
DEBUG:root:Processing tweet 220/990
DEBUG:root:Processing tweet 221/990
DEBUG:root:Processing tweet 222/990
DEBUG:root:Processing tweet 223/990
DEBUG:root:Processing tweet 224/990
DEBUG:root:Processing tweet 225/990
DEBUG:root:Processing tweet 226/990
DEBUG:root:Processing tweet 227/990
DEBUG:root:Processing tweet 228/990
DEBUG:root:Processing tweet 229/990
DEBUG:root:Processing tweet 230/990
DEBUG:root:Processing tweet 231/990
DEBUG:root:Processing tweet 232/990
DEBUG:root:Processing tweet 233/990
DEBUG:root:Processing tweet 234/990
DEBUG:root:Processing tweet 235/990
DEBUG:root:Processing tweet 236/990
DEBUG:root:Processing tweet 237/990
DEBUG:root:Processing tweet 238/990
DEBUG:root:Processing tweet 239/990
DEBUG:root:Processing tweet 240/990
DEBUG:root:Processing tweet 241/990
DEBUG:root:Processing tweet 242/990
DEBUG:root:Processing tweet 243/990
DEBUG:root:Processing tweet 244/990
DEBUG:root:Processing tweet 245/990
DEBUG:root:Processing tweet 246/990
DEBUG:root:Processing tweet 247/990
DEBUG:root:Processing tweet 248/990
DEBUG:root:Processing tweet 249/990
DEBUG:root:Processing tweet 250/990
DEBUG:root:Processing tweet 251/990
DEBUG:root:Processing tweet 252/990
DEBUG:root:Processing tweet 253/990
DEBUG:root:Processing tweet 254/990
DEBUG:root:Processing tweet 255/990
DEBUG:root:Processing tweet 256/990
DEBUG:root:Processing tweet 257/990
DEBUG:root:Processing tweet 258/990
DEBUG:root:Processing tweet 259/990
DEBUG:root:Processing tweet 260/990
DEBUG:root:Processing tweet 261/990
DEBUG:root:Processing tweet 262/990
DEBUG:root:Processing tweet 263/990
DEBUG:root:Processing tweet 264/990
DEBUG:root:Processing tweet 265/990
DEBUG:root:Processing tweet 266/990
DEBUG:root:Processing tweet 267/990
DEBUG:root:Processing tweet 268/990
DEBUG:root:Processing tweet 269/990
DEBUG:root:Processing tweet 270/990
DEBUG:root:Processing tweet 271/990
DEBUG:root:Processing tweet 272/990
DEBUG:root:Processing tweet 273/990
DEBUG:root:Processing tweet 274/990
DEBUG:root:Processing tweet 275/990
DEBUG:root:Processing tweet 276/990
DEBUG:root:Processing tweet 277/990
DEBUG:root:Processing tweet 278/990
DEBUG:root:Processing tweet 279/990
DEBUG:root:Processing tweet 280/990
DEBUG:root:Processing tweet 281/990
DEBUG:root:Processing tweet 282/990
DEBUG:root:Processing tweet 283/990
DEBUG:root:Processing tweet 284/990
DEBUG:root:Processing tweet 285/990
DEBUG:root:Processing tweet 286/990
DEBUG:root:Processing tweet 287/990
DEBUG:root:Processing tweet 288/990
DEBUG:root:Processing tweet 289/990
DEBUG:root:Processing tweet 290/990
DEBUG:root:Processing tweet 291/990
DEBUG:root:Processing tweet 292/990
DEBUG:root:Processing tweet 293/990
DEBUG:root:Processing tweet 294/990
DEBUG:root:Tweet 1323858095601307648 already processed
DEBUG:root:Processing tweet 295/990
DEBUG:root:Processing tweet 296/990
DEBUG:root:Processing tweet 297/990
DEBUG:root:Processing tweet 298/990
DEBUG:root:Processing tweet 299/990
DEBUG:root:Processing tweet 300/990
DEBUG:root:Processing tweet 301/990
DEBUG:root:Processing tweet 302/990
DEBUG:root:Processing tweet 303/990
DEBUG:root:Processing tweet 304/990
DEBUG:root:Processing tweet 305/990
DEBUG:root:Processing tweet 306/990
DEBUG:root:Processing tweet 307/990
DEBUG:root:Processing tweet 308/990
DEBUG:root:Processing tweet 309/990
DEBUG:root:Processing tweet 310/990
DEBUG:root:Processing tweet 311/990
DEBUG:root:Processing tweet 312/990
DEBUG:root:Processing tweet 313/990
DEBUG:root:Tweet 1323806222475296774 already processed
DEBUG:root:Processing tweet 314/990
DEBUG:root:Processing tweet 315/990
DEBUG:root:Processing tweet 316/990
DEBUG:root:Processing tweet 317/990
DEBUG:root:Processing tweet 318/990
DEBUG:root:Processing tweet 319/990
DEBUG:root:Processing tweet 320/990
DEBUG:root:Processing tweet 321/990
DEBUG:root:Processing tweet 322/990
DEBUG:root:Processing tweet 323/990
DEBUG:root:Processing tweet 324/990
DEBUG:root:Tweet 1323765885132222472 already processed
DEBUG:root:Processing tweet 325/990
DEBUG:root:Processing tweet 326/990
DEBUG:root:Processing tweet 327/990
DEBUG:root:Processing tweet 328/990
DEBUG:root:Processing tweet 329/990
DEBUG:root:Processing tweet 330/990
DEBUG:root:Processing tweet 331/990
DEBUG:root:Processing tweet 332/990
DEBUG:root:Processing tweet 333/990
DEBUG:root:Tweet 1323760944414035968 already processed
DEBUG:root:Processing tweet 334/990
DEBUG:root:Tweet 1323760591383744513 already processed
DEBUG:root:Processing tweet 335/990
DEBUG:root:Tweet 1323753673252499456 already processed
DEBUG:root:Processing tweet 336/990
DEBUG:root:Processing tweet 337/990
DEBUG:root:Tweet 1323753316266881025 already processed
DEBUG:root:Processing tweet 338/990
DEBUG:root:Processing tweet 339/990
DEBUG:root:Processing tweet 340/990
DEBUG:root:Processing tweet 341/990
DEBUG:root:Processing tweet 342/990
DEBUG:root:Processing tweet 343/990
DEBUG:root:Processing tweet 344/990
DEBUG:root:Tweet 1323704713016127488 already processed
DEBUG:root:Processing tweet 345/990
DEBUG:root:Processing tweet 346/990
DEBUG:root:Tweet 1323701380448690178 already processed
DEBUG:root:Processing tweet 347/990
DEBUG:root:Processing tweet 348/990
DEBUG:root:Processing tweet 349/990
DEBUG:root:Processing tweet 350/990
DEBUG:root:Processing tweet 351/990
DEBUG:root:Processing tweet 352/990
DEBUG:root:Processing tweet 353/990
DEBUG:root:Processing tweet 354/990
DEBUG:root:Processing tweet 355/990
DEBUG:root:Tweet 1323668107290882048 already processed
DEBUG:root:Processing tweet 356/990
DEBUG:root:Tweet 1323668099053297667 already processed
DEBUG:root:Processing tweet 357/990
DEBUG:root:Processing tweet 358/990
DEBUG:root:Tweet 1323662188935106561 already processed
DEBUG:root:Processing tweet 359/990
DEBUG:root:Processing tweet 360/990
DEBUG:root:Processing tweet 361/990
DEBUG:root:Processing tweet 362/990
DEBUG:root:Processing tweet 363/990
DEBUG:root:Processing tweet 364/990
DEBUG:root:Processing tweet 365/990
DEBUG:root:Processing tweet 366/990
DEBUG:root:Processing tweet 367/990
DEBUG:root:Processing tweet 368/990
DEBUG:root:Processing tweet 369/990
DEBUG:root:Processing tweet 370/990
DEBUG:root:Processing tweet 371/990
DEBUG:root:Processing tweet 372/990
DEBUG:root:Processing tweet 373/990
DEBUG:root:Processing tweet 374/990
DEBUG:root:Processing tweet 375/990
DEBUG:root:Processing tweet 376/990
DEBUG:root:Processing tweet 377/990
DEBUG:root:Processing tweet 378/990
DEBUG:root:Processing tweet 379/990
DEBUG:root:Processing tweet 380/990
DEBUG:root:Processing tweet 381/990
DEBUG:root:Tweet 1323630251218505730 already processed
DEBUG:root:Processing tweet 382/990
DEBUG:root:Processing tweet 383/990
